"Batch / Cron","Picked Name","Start Time","End Time","Status","ErrorLevel"
"Indexing(b)","2018-03-31_index_input.csv","2018-04-01 00:00:01","2018-04-01 00:00:01","Success","0"
"IndexUpdate(c)","2018-03-31_index_input.csv","2018-04-01 00:06:49","2018-04-01 00:06:49","Success"
"ReadChicagoFtp(c)","2018-04-01_search_input.csv","2018-04-01 07:31:01","2018-04-01 08:28:08","Success"
"Searching(b)","2018-04-01_search_input.csv","2018-04-01 11:01:00","2018-04-01 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-01_search_output.csv","2018-04-01 11:42:11","2018-04-01 11:42:11","Success"
"ImportToComptiscan(c)","2018-04-01_search_output.csv","2018-04-01 11:42:12","2018-04-01 12:16:09","Success"
"Indexing(b)","2018-04-01_index_input.csv","2018-04-02 00:00:01","2018-04-02 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-01_index_input.csv","2018-04-02 00:06:38","2018-04-02 00:06:38","Success"
"ReadChicagoFtp(c)","2018-04-02_search_input.csv","2018-04-02 07:31:01","2018-04-02 07:31:46","No data available"
"Searching(b)","2018-04-02_search_input.csv","2018-04-02 11:01:00","2018-04-02 11:01:00","No data available","0"
"Indexing(b)","2018-04-02_index_input.csv","2018-04-03 00:00:01","2018-04-03 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-02_index_input.csv","2018-04-03 00:07:17","2018-04-03 00:07:17","Success"
"ReadChicagoFtp(c)","2018-04-03_search_input.csv","2018-04-03 08:31:01","2018-04-03 09:33:50","Success"
"Searching(b)","2018-04-03_search_input.csv","2018-04-03 11:01:00","2018-04-03 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-03_search_output.csv","2018-04-03 12:36:04","2018-04-03 12:36:05","Success"
"ImportToComptiscan(c)","2018-04-03_search_output.csv","2018-04-03 12:36:05","2018-04-03 13:45:26","Success"
"Indexing(b)","2018-04-03_index_input.csv","2018-04-04 00:00:01","2018-04-04 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-03_index_input.csv","2018-04-04 00:07:10","2018-04-04 00:07:10","Success"
"ReadChicagoFtp(c)","2018-04-04_search_input.csv","2018-04-04 07:40:01","2018-04-04 07:51:30","Success"
"Searching(b)","2018-04-04_search_input.csv","2018-04-04 11:01:00","2018-04-04 11:01:00","Success","0"
"SearchUpdate(c)","2018-04-04_search_output.csv","2018-04-04 11:23:45","2018-04-04 11:23:45","Success"
"ImportToComptiscan(c)","2018-04-04_search_output.csv","2018-04-04 11:23:45","2018-04-04 11:30:57","Success"
"Indexing(b)","2018-04-04_index_input.csv","2018-04-05 00:00:01","2018-04-05 00:00:01","Success","0"
"IndexUpdate(c)","2018-04-04_index_input.csv","2018-04-05 00:07:17","2018-04-05 00:07:17","Success"
"ReadChicagoFtp(c)","2018-04-05_search_input.csv","2018-04-05 07:31:01","2018-04-05 08:45:23","Success"
"Searching(b)","2018-04-05_search_input.csv","2018-04-05 09:43:50","2018-04-05 09:43:50","Success","0"
"SearchUpdate(c)","2018-04-05_search_output.csv","2018-04-05 10:25:04","2018-04-05 10:25:04","Success"
"ImportToComptiscan(c)","2018-04-05_search_output.csv","2018-04-05 10:30:44","2018-04-05 10:38:07","Success"
